Timestamp | Level | Message
2026-03-02T20:10:35.232Z | INFO | [RepairService] | User 6188 | Robot 50416 (User1Robot0) | Cost: ₡7,590 | Discount: 0%
2026-03-02T20:10:35.239Z | INFO | [RepairService] | User 6189 | Robot 50420 (User2Robot0) | Cost: ₡7,590 | Discount: 0%
2026-03-02T20:10:35.247Z | INFO | [RepairService] | User 6191 | Robot 50428 (User2Robot0) | Cost: ₡12,880 | Discount: 0%
2026-03-02T20:10:35.254Z | INFO | [RepairService] | User 6190 | Robot 50424 (User1Robot0) | Cost: ₡12,880 | Discount: 0%
2026-03-02T20:10:35.261Z | INFO | [RepairService] | User 6185 | Robot 50408 (User1Robot0) | Cost: ₡10,120 | Discount: 0%
2026-03-02T20:10:35.269Z | INFO | [RepairService] | User 6186 | Robot 50412 (User2Robot0) | Cost: ₡10,120 | Discount: 0%
2026-03-02T20:10:35.290Z | INFO | [RepairService] | User 6209 | Robot 50492 (User2Robot0) | Cost: ₡13,570 | Discount: 0%
2026-03-02T20:10:35.304Z | INFO | [RepairService] | User 6194 | Robot 50440 (User1Robot0) | Cost: ₡10,120 | Discount: 0%
2026-03-02T20:10:35.312Z | INFO | [RepairService] | User 6195 | Robot 50444 (User2Robot0) | Cost: ₡10,120 | Discount: 0%
2026-03-02T20:10:35.322Z | INFO | [RepairService] | User 6208 | Robot 50488 (User1Robot0) | Cost: ₡13,570 | Discount: 0%
2026-03-02T20:10:35.330Z | INFO | [RepairService] | User 6192 | Robot 50432 (User1Robot0) | Cost: ₡12,420 | Discount: 0%
2026-03-02T20:10:35.337Z | INFO | [RepairService] | User 6193 | Robot 50436 (User2Robot0) | Cost: ₡12,420 | Discount: 0%
2026-03-02T20:10:35.344Z | INFO | [RepairService] | User 6200 | Robot 50460 (User2Robot0) | Cost: ₡7,590 | Discount: 0%
2026-03-02T20:10:35.353Z | INFO | [RepairService] | User 6197 | Robot 50448 (User1Robot0) | Cost: ₡7,130 | Discount: 0%
2026-03-02T20:10:35.361Z | INFO | [RepairService] | User 6198 | Robot 50452 (User2Robot0) | Cost: ₡7,130 | Discount: 0%
2026-03-02T20:10:35.392Z | INFO | [RepairService] | User 6199 | Robot 50456 (User1Robot0) | Cost: ₡7,590 | Discount: 0%
